storecode	sono	sku	itmName	price	qty	salesamount	taxamount	UPC
003	SO000090 	SKU000015	test_itm015	9.75	3	29.25	1.76	00000000100000000024
004	SO000004 	SKU000014	test_itm014	9.50	2	19.00	1.14	00000000100000000025
004	SO000033 	SKU000015	test_itm015	9.75	3	29.25	1.76	00000000100000000026
004	SO000033 	SKU000016	test_itm016	10.00	1	10.00	0.60	00000000100000000027
004	SO000062 	SKU000016	test_itm016	10.00	1	10.00	0.60	00000000100000000028
004	SO000062 	SKU000017	test_itm017	10.25	2	20.50	1.23	00000000100000000029
004	SO000062 	SKU000018	test_itm018	10.50	3	31.50	1.89	00000000100000000030
004	SO000091 	SKU000017	test_itm017	10.25	2	20.50	1.23	00000000100000000031
005	SO000005 	SKU000018	test_itm018	10.50	3	31.50	1.89	00000000100000000032
005	SO000005 	SKU000019	test_itm019	10.75	1	10.75	0.65	00000000100000000033
005	SO000034 	SKU000019	test_itm019	10.75	1	10.75	0.65	00000000100000000034
005	SO000034 	SKU000020	test_itm020	11.00	2	22.00	1.32	00000000100000000035
005	SO000034 	SKU000021	test_itm021	11.25	3	33.75	2.03	00000000100000000036
005	SO000063 	SKU000020	test_itm020	11.00	2	22.00	1.32	00000000100000000037
005	SO000092 	SKU000021	test_itm021	11.25	3	33.75	2.03	00000000100000000038
005	SO000092 	SKU000022	test_itm022	11.50	1	11.50	0.69	00000000100000000039
006	SO000006 	SKU000022	test_itm022	11.50	1	11.50	0.69	00000000100000000040
006	SO000006 	SKU000023	test_itm023	11.75	2	23.50	1.41	00000000100000000041
006	SO000006 	SKU000024	test_itm024	12.00	3	36.00	2.16	00000000100000000042
006	SO000035 	SKU000023	test_itm023	11.75	2	23.50	1.41	00000000100000000043
006	SO000064 	SKU000024	test_itm024	12.00	3	36.00	2.16	00000000100000000044
006	SO000064 	SKU000025	test_itm025	12.25	1	12.25	0.74	00000000100000000045
006	SO000093 	SKU000025	test_itm025	12.25	1	12.25	0.74	00000000100000000046
006	SO000093 	SKU000026	test_itm026	12.50	2	25.00	1.50	00000000100000000047
006	SO000093 	SKU000027	test_itm027	12.75	3	38.25	2.30	00000000100000000048
007	SO000007 	SKU000026	test_itm026	12.50	2	25.00	1.50	00000000100000000049
007	SO000036 	SKU000027	test_itm027	12.75	3	38.25	2.30	00000000100000000050
007	SO000036 	SKU000028	test_itm028	13.00	1	13.00	0.78	00000000100000000051
007	SO000065 	SKU000028	test_itm028	13.00	1	13.00	0.78	00000000100000000052
007	SO000065 	SKU000029	test_itm029	13.25	2	26.50	1.59	00000000100000000053
007	SO000065 	SKU000030	test_itm030	13.50	3	40.50	2.43	00000000100000000054
007	SO000094 	SKU000029	test_itm029	13.25	2	26.50	1.59	00000000100000000055
008	SO000008 	SKU000030	test_itm030	13.50	3	40.50	2.43	00000000100000000056
008	SO000008 	SKU000031	test_itm031	13.75	1	13.75	0.83	00000000100000000057
008	SO000037 	SKU000031	test_itm031	13.75	1	13.75	0.83	00000000100000000058
008	SO000037 	SKU000032	test_itm032	14.00	2	28.00	1.68	00000000100000000059
008	SO000037 	SKU000033	test_itm033	14.25	3	42.75	2.57	00000000100000000060
008	SO000066 	SKU000032	test_itm032	14.00	2	28.00	1.68	00000000100000000061
008	SO000095 	SKU000033	test_itm033	14.25	3	42.75	2.57	00000000100000000062
008	SO000095 	SKU000034	test_itm034	14.50	1	14.50	0.87	00000000100000000063
009	SO000009 	SKU000034	test_itm034	14.50	1	14.50	0.87	00000000100000000064
009	SO000009 	SKU000035	test_itm035	14.75	2	29.50	1.77	00000000100000000065
009	SO000009 	SKU000036	test_itm036	15.00	3	45.00	2.70	00000000100000000066
009	SO000038 	SKU000035	test_itm035	14.75	2	29.50	1.77	00000000100000000067
009	SO000067 	SKU000036	test_itm036	15.00	3	45.00	2.70	00000000100000000068
009	SO000067 	SKU000037	test_itm037	15.25	1	15.25	0.92	00000000100000000069
009	SO000096 	SKU000037	test_itm037	15.25	1	15.25	0.92	00000000100000000070
009	SO000096 	SKU000038	test_itm038	15.50	2	31.00	1.86	00000000100000000071
009	SO000096 	SKU000039	test_itm039	15.75	3	47.25	2.84	00000000100000000072
010	SO000010 	SKU000038	test_itm038	15.50	2	31.00	1.86	00000000100000000073
010	SO000039 	SKU000039	test_itm039	15.75	3	47.25	2.84	00000000100000000074
010	SO000039 	SKU000040	test_itm040	16.00	1	16.00	0.96	00000000100000000075
010	SO000068 	SKU000040	test_itm040	16.00	1	16.00	0.96	00000000100000000076
010	SO000068 	SKU000041	test_itm041	16.25	2	32.50	1.95	00000000100000000077
010	SO000068 	SKU000042	test_itm042	16.50	3	49.50	2.97	00000000100000000078
010	SO000097 	SKU000041	test_itm041	16.25	2	32.50	1.95	00000000100000000079
011	SO000011 	SKU000042	test_itm042	16.50	3	49.50	2.97	00000000100000000080
011	SO000011 	SKU000043	test_itm043	16.75	1	16.75	1.01	00000000100000000081
011	SO000040 	SKU000043	test_itm043	16.75	1	16.75	1.01	00000000100000000082
011	SO000040 	SKU000044	test_itm044	17.00	2	34.00	2.04	00000000100000000083
011	SO000040 	SKU000045	test_itm045	17.25	3	51.75	3.11	00000000100000000084
011	SO000069 	SKU000044	test_itm044	17.00	2	34.00	2.04	00000000100000000085
011	SO000098 	SKU000045	test_itm045	17.25	3	51.75	3.11	00000000100000000086
011	SO000098 	SKU000046	test_itm046	17.50	1	17.50	1.05	00000000100000000087
012	SO000012 	SKU000046	test_itm046	17.50	1	17.50	1.05	00000000100000000088
012	SO000012 	SKU000047	test_itm047	17.75	2	35.50	2.13	00000000100000000089
012	SO000012 	SKU000048	test_itm048	18.00	3	54.00	3.24	00000000100000000090
012	SO000041 	SKU000047	test_itm047	17.75	2	35.50	2.13	00000000100000000091
012	SO000070 	SKU000048	test_itm048	18.00	3	54.00	3.24	00000000100000000092
012	SO000070 	SKU000049	test_itm049	18.25	1	18.25	1.10	00000000100000000093
012	SO000099 	SKU000049	test_itm049	18.25	1	18.25	1.10	00000000100000000094
012	SO000099 	SKU000050	test_itm050	18.50	2	37.00	2.22	00000000100000000095
012	SO000099 	SKU000051	test_itm051	18.75	3	56.25	3.38	00000000100000000096
013	SO000013 	SKU000050	test_itm050	18.50	2	37.00	2.22	00000000100000000097
013	SO000042 	SKU000051	test_itm051	18.75	3	56.25	3.38	00000000100000000098
013	SO000042 	SKU000052	test_itm052	19.00	1	19.00	1.14	00000000100000000099
013	SO000071 	SKU000052	test_itm052	19.00	1	19.00	1.14	00000000100000000100
013	SO000071 	SKU000053	test_itm053	19.25	2	38.50	2.31	00000000100000000101
013	SO000071 	SKU000054	test_itm054	19.50	3	58.50	3.51	00000000100000000102
013	SO000100 	SKU000053	test_itm053	19.25	2	38.50	2.31	00000000100000000103
014	SO000014 	SKU000054	test_itm054	19.50	3	58.50	3.51	00000000100000000104
014	SO000014 	SKU000055	test_itm055	19.75	1	19.75	1.19	00000000100000000105
014	SO000043 	SKU000055	test_itm055	19.75	1	19.75	1.19	00000000100000000106
014	SO000043 	SKU000056	test_itm056	20.00	2	40.00	2.40	00000000100000000107
014	SO000043 	SKU000057	test_itm057	20.25	3	60.75	3.65	00000000100000000108
014	SO000072 	SKU000056	test_itm056	20.00	2	40.00	2.40	00000000100000000109
015	SO000015 	SKU000057	test_itm057	20.25	3	60.75	3.65	00000000100000000110
015	SO000015 	SKU000058	test_itm058	20.50	1	20.50	1.23	00000000100000000111
015	SO000044 	SKU000058	test_itm058	20.50	1	20.50	1.23	00000000100000000112
015	SO000044 	SKU000059	test_itm059	20.75	2	41.50	2.49	00000000100000000113
015	SO000044 	SKU000060	test_itm060	21.00	3	63.00	3.78	00000000100000000114
015	SO000073 	SKU000059	test_itm059	20.75	2	41.50	2.49	00000000100000000115
016	SO000016 	SKU000060	test_itm060	21.00	3	63.00	3.78	00000000100000000116
016	SO000016 	SKU000061	test_itm061	21.25	1	21.25	1.28	00000000100000000117
016	SO000045 	SKU000061	test_itm061	21.25	1	21.25	1.28	00000000100000000118
016	SO000045 	SKU000062	test_itm062	21.50	2	43.00	2.58	00000000100000000119
016	SO000045 	SKU000063	test_itm063	21.75	3	65.25	3.92	00000000100000000120
016	SO000074 	SKU000062	test_itm062	21.50	2	43.00	2.58	00000000100000000121
017	SO000017 	SKU000063	test_itm063	21.75	3	65.25	3.92	00000000100000000122
017	SO000017 	SKU000064	test_itm064	22.00	1	22.00	1.32	00000000100000000123
017	SO000046 	SKU000064	test_itm064	22.00	1	22.00	1.32	00000000100000000124
017	SO000046 	SKU000065	test_itm065	22.25	2	44.50	2.67	00000000100000000125
017	SO000046 	SKU000066	test_itm066	22.50	3	67.50	4.05	00000000100000000126
017	SO000075 	SKU000065	test_itm065	22.25	2	44.50	2.67	00000000100000000127
018	SO000018 	SKU000066	test_itm066	22.50	3	67.50	4.05	00000000100000000128
018	SO000018 	SKU000067	test_itm067	22.75	1	22.75	1.37	00000000100000000129
018	SO000047 	SKU000067	test_itm067	22.75	1	22.75	1.37	00000000100000000130
018	SO000047 	SKU000068	test_itm068	23.00	2	46.00	2.76	00000000100000000131
018	SO000047 	SKU000069	test_itm069	23.25	3	69.75	4.19	00000000100000000132
018	SO000076 	SKU000068	test_itm068	23.00	2	46.00	2.76	00000000100000000133
019	SO000019 	SKU000069	test_itm069	23.25	3	69.75	4.19	00000000100000000134
019	SO000019 	SKU000070	test_itm070	23.50	1	23.50	1.41	00000000100000000135
019	SO000048 	SKU000070	test_itm070	23.50	1	23.50	1.41	00000000100000000136
019	SO000048 	SKU000071	test_itm071	23.75	2	47.50	2.85	00000000100000000137
019	SO000048 	SKU000072	test_itm072	24.00	3	72.00	4.32	00000000100000000138
019	SO000077 	SKU000071	test_itm071	23.75	2	47.50	2.85	00000000100000000139
020	SO000020 	SKU000072	test_itm072	24.00	3	72.00	4.32	00000000100000000140
020	SO000020 	SKU000073	test_itm073	24.25	1	24.25	1.46	00000000100000000141
020	SO000049 	SKU000073	test_itm073	24.25	1	24.25	1.46	00000000100000000142
020	SO000049 	SKU000074	test_itm074	24.50	2	49.00	2.94	00000000100000000143
020	SO000049 	SKU000075	test_itm075	24.75	3	74.25	4.46	00000000100000000144
020	SO000078 	SKU000074	test_itm074	24.50	2	49.00	2.94	00000000100000000145
021	SO000021 	SKU000075	test_itm075	24.75	3	74.25	4.46	00000000100000000146
021	SO000021 	SKU000076	test_itm076	25.00	1	25.00	1.50	00000000100000000147
021	SO000050 	SKU000076	test_itm076	25.00	1	25.00	1.50	00000000100000000148
021	SO000050 	SKU000077	test_itm077	25.25	2	50.50	3.03	00000000100000000149
021	SO000050 	SKU000078	test_itm078	25.50	3	76.50	4.59	00000000100000000150
021	SO000079 	SKU000077	test_itm077	25.25	2	50.50	3.03	00000000100000000151
022	SO000022 	SKU000078	test_itm078	25.50	3	76.50	4.59	00000000100000000152
022	SO000022 	SKU000079	test_itm079	25.75	1	25.75	1.55	00000000100000000153
022	SO000051 	SKU000079	test_itm079	25.75	1	25.75	1.55	00000000100000000154
022	SO000051 	SKU000080	test_itm080	26.00	2	52.00	3.12	00000000100000000155
022	SO000051 	SKU000081	test_itm081	26.25	3	78.75	4.73	00000000100000000156
022	SO000080 	SKU000080	test_itm080	26.00	2	52.00	3.12	00000000100000000157
023	SO000023 	SKU000081	test_itm081	26.25	3	78.75	4.73	00000000100000000158
023	SO000023 	SKU000082	test_itm082	26.50	1	26.50	1.59	00000000100000000159
023	SO000052 	SKU000082	test_itm082	26.50	1	26.50	1.59	00000000100000000160
023	SO000052 	SKU000083	test_itm083	26.75	2	53.50	3.21	00000000100000000161
023	SO000052 	SKU000084	test_itm084	27.00	3	81.00	4.86	00000000100000000162
023	SO000081 	SKU000083	test_itm083	26.75	2	53.50	3.21	00000000100000000163
024	SO000024 	SKU000084	test_itm084	27.00	3	81.00	4.86	00000000100000000164
024	SO000024 	SKU000085	test_itm085	27.25	1	27.25	1.64	00000000100000000165
024	SO000053 	SKU000085	test_itm085	27.25	1	27.25	1.64	00000000100000000166
024	SO000053 	SKU000086	test_itm086	27.50	2	55.00	3.30	00000000100000000167
024	SO000053 	SKU000087	test_itm087	27.75	3	83.25	5.00	00000000100000000168
024	SO000082 	SKU000086	test_itm086	27.50	2	55.00	3.30	00000000100000000169
025	SO000025 	SKU000087	test_itm087	27.75	3	83.25	5.00	00000000100000000170
025	SO000025 	SKU000088	test_itm088	28.00	1	28.00	1.68	00000000100000000171
025	SO000054 	SKU000088	test_itm088	28.00	1	28.00	1.68	00000000100000000172
025	SO000054 	SKU000089	test_itm089	28.25	2	56.50	3.39	00000000100000000173
025	SO000054 	SKU000090	test_itm090	28.50	3	85.50	5.13	00000000100000000174
025	SO000083 	SKU000089	test_itm089	28.25	2	56.50	3.39	00000000100000000175
026	SO000026 	SKU000090	test_itm090	28.50	3	85.50	5.13	00000000100000000176
026	SO000026 	SKU000091	test_itm091	28.75	1	28.75	1.73	00000000100000000177
026	SO000055 	SKU000091	test_itm091	28.75	1	28.75	1.73	00000000100000000178
026	SO000055 	SKU000092	test_itm092	29.00	2	58.00	3.48	00000000100000000179
026	SO000055 	SKU000093	test_itm093	29.25	3	87.75	5.27	00000000100000000180
026	SO000084 	SKU000092	test_itm092	29.00	2	58.00	3.48	00000000100000000181
027	SO000027 	SKU000093	test_itm093	29.25	3	87.75	5.27	00000000100000000182
027	SO000027 	SKU000094	test_itm094	29.50	1	29.50	1.77	00000000100000000183
027	SO000056 	SKU000094	test_itm094	29.50	1	29.50	1.77	00000000100000000184
027	SO000056 	SKU000095	test_itm095	29.75	2	59.50	3.57	00000000100000000185
027	SO000056 	SKU000096	test_itm096	30.00	3	90.00	5.40	00000000100000000186
027	SO000085 	SKU000095	test_itm095	29.75	2	59.50	3.57	00000000100000000187
028	SO000028 	SKU000096	test_itm096	30.00	3	90.00	5.40	00000000100000000188
028	SO000028 	SKU000097	test_itm097	30.25	1	30.25	1.82	00000000100000000189
028	SO000057 	SKU000097	test_itm097	30.25	1	30.25	1.82	00000000100000000190
028	SO000057 	SKU000098	test_itm098	30.50	2	61.00	3.66	00000000100000000191
028	SO000057 	SKU000099	test_itm099	30.75	3	92.25	5.54	00000000100000000192
028	SO000086 	SKU000098	test_itm098	30.50	2	61.00	3.66	00000000100000000193
029	SO000029 	SKU000099	test_itm099	30.75	3	92.25	5.54	00000000100000000194
029	SO000029 	SKU000100	test_itm100	31.00	1	31.00	1.86	00000000100000000195
029	SO000058 	SKU000001	test_itm001	6.25	2	12.50	0.75	00000000100000000196
029	SO000058 	SKU000002	test_itm002	6.50	3	19.50	1.17	00000000100000000197
029	SO000058 	SKU000100	test_itm100	31.00	1	31.00	1.86	00000000100000000198
029	SO000087 	SKU000001	test_itm001	6.25	2	12.50	0.75	00000000100000000199
